Field,Numberofpeople,Income,Earnings_FT,Earnings_All,Monthsworked
TOTAL,38782,4259,5445,5034,3
Agriculture,547,3655,4409,4159,3.4
Architecture,1208,3525,5230,4386,3.1
Business,8371,4939,5959,5697,3.2
Communications,1255,3980,5017,4603,3.4
Computer,1418,5722,6743,6681,3.5
Education,4550,2849,3806,3320,2.7
Engineering,2795,6011,7322,6843,3.1
Literature,958,378,5275,4056,2.7
Foreign language,226,3110,4458,3475,2.9
Health sciences,2165,3710,4984,4236,3.1
Liberal arts,2075,3427,4891,4155,2.8
Mathematics,630,4609,5921,5255,2.8
Natural science,1824,3981,5124,4543,2.9
Philosophy,318,2975,4664,3701,2.8
Pre-professional,147,1000,0,0,0
Psychology,1502,4885,4683,5894,2.9
Social science,1873,3608,4931,4289,3
Other,6921,4381,5377,5192,3.1
